hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
954,2016-03-31,CA,"2017-01-10 04:15:48",Regular,1459382400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
955,2016-04-05,CA,"2017-01-10 04:15:48",Budget,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
956,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
957,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
958,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
959,2016-04-06,CA,"2017-01-10 04:15:48",Informational,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
960,2016-04-06,CA,"2017-01-10 04:15:48",Regular,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
961,2016-04-06,CA,"2017-01-10 04:15:48",Regular,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
962,2016-04-06,CA,"2017-01-10 04:15:48",Informational,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
963,2016-04-07,CA,"2017-01-10 04:15:48",Informational,1459987200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
964,2016-04-06,CA,"2017-01-10 04:15:48",Regular,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
965,2016-04-06,CA,"2017-01-10 04:15:48",Regular,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
966,2016-04-07,CA,"2017-01-10 04:15:48",Regular,1459987200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
967,2016-04-06,CA,"2017-01-10 04:15:48",Budget,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
968,2016-04-06,CA,"2017-01-10 04:15:48",Regular,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
969,2016-04-06,CA,"2017-01-10 04:15:48",Regular,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
970,2016-04-06,CA,"2017-01-10 04:15:48",Regular,1459900800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
971,2016-04-07,CA,"2017-01-10 04:15:48",Budget,1459987200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
972,2016-04-07,CA,"2017-01-10 04:15:48",Budget,1459987200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
973,2016-04-11,CA,"2017-01-10 04:15:48",Regular,1460332800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
974,2016-04-11,CA,"2017-01-10 04:15:48",Regular,1460332800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
975,2016-04-11,CA,"2017-01-10 04:15:48",Regular,1460332800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
976,2016-04-11,CA,"2017-01-10 04:15:48",Regular,1460332800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
977,2016-04-11,CA,"2017-01-10 04:15:48",Budget,1460332800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
978,2016-04-11,CA,"2017-01-10 04:15:48",Regular,1460332800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
979,2016-04-12,CA,"2017-01-10 04:15:48",Regular,1460419200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
